#Selection name: Selection 4
#Area (µm^2): 3190188.54
Cell ID,Cluster,Transcripts,Area (µm^2)
kmbggjod-1,Cluster 1,1,136.96
kljkkoom-1,Cluster 2,0,35.13
kncjflge-1,Cluster 2,1,108.47
knchambc-1,Cluster 2,1,52.65
knaoineb-1,Cluster 2,0,63.85
knaoijjb-1,Cluster 2,0,60.78
knamlogm-1,Cluster 2,1,38.79
knamjoma-1,Cluster 2,0,46.33
knaloakp-1,Cluster 2,1,33.91
kljhihlg-1,Cluster 2,1,37.62
kljhpdli-1,Cluster 2,1,53.92
klpobjco-1,Cluster 2,0,51.52
klpoicca-1,Cluster 2,0,51.84
klpmlokh-1,Cluster 2,1,59.52
kljjapon-1,Cluster 2,0,30.30
kljoahnl-1,Cluster 2,1,30.62
kmagappn-1,Cluster 2,0,50.67
klkbnchd-1,Cluster 2,0,95.42
kljobjcn-1,Cluster 2,0,53.47
kmaghppa-1,Cluster 2,1,83.81
kmagdlok-1,Cluster 2,0,18.42
kmagheja-1,Cluster 2,3,98.40
knchkagj-1,Cluster 2,1,59.29
knchdnkk-1,Cluster 2,0,45.65
lepjgdml-1,Cluster 2,0,24.29
leocliik-1,Cluster 2,1,112.03
lenlggfl-1,Cluster 2,0,76.95
lenkmmko-1,Cluster 2,0,46.42
leoahobp-1,Cluster 2,2,117.68
lemkfcee-1,Cluster 2,0,46.60
lemkidgg-1,Cluster 2,1,54.37
lfadpcad-1,Cluster 2,0,67.15
lfahlach-1,Cluster 2,2,80.56
lfagmlao-1,Cluster 2,2,26.82
lfaejoif-1,Cluster 2,1,82.68
gmlmighg-1,Cluster 2,0,75.68
gmladhpb-1,Cluster 2,0,62.77
gmmagnak-1,Cluster 2,1,90.90
gnknmlck-1,Cluster 2,1,31.97
gmmclgmi-1,Cluster 2,2,71.93
gnkmoncn-1,Cluster 2,1,14.72
gnkobmki-1,Cluster 2,0,23.75
gmljoggc-1,Cluster 2,0,20.28
gmlmbkhn-1,Cluster 2,0,40.69
odjbjiln-1,Cluster 2,1,169.07
gnlgpbil-1,Cluster 2,1,46.01
gnkfnljd-1,Cluster 1,1,146.94
gnkjfkng-1,Cluster 2,0,52.61
lenglcic-1,Cluster 2,0,38.83
ogkkkmpj-1,Cluster 2,0,79.93
odjelejg-1,Cluster 2,0,120.48
lemjocmc-1,Cluster 2,0,49.31
lemgknmc-1,Cluster 2,0,79.11
lemfbjbc-1,Cluster 2,1,56.67
gnkgiemf-1,Cluster 2,2,63.22
gnkfplek-1,Cluster 2,1,24.66
lemgdlam-1,Cluster 2,1,48.86
lenikkkb-1,Cluster 2,0,84.62
lenjpgbj-1,Cluster 2,1,55.86
lemgpchb-1,Cluster 2,0,72.25
gnklanme-1,Cluster 2,0,60.96
lenfknof-1,Cluster 2,2,48.68
lenfcbke-1,Cluster 2,0,46.33
gnklnkdo-1,Cluster 2,0,43.98
lenklnkd-1,Cluster 2,1,119.17
lenjgblc-1,Cluster 2,2,69.99
lemhcocb-1,Cluster 2,6,58.03
gnkjannl-1,Cluster 2,0,92.80
lenkliif-1,Cluster 2,2,66.20
hemadgkl-1,Cluster 2,0,43.03
hfaplekj-1,Cluster 2,0,44.89
hfcnmeep-1,Cluster 2,0,33.28
